File_Name,TGOS_URL,File_URL,File_Format,Description,Announcement_Date,YYY_ROC,Agency_Codes
雪霸國家公園計畫範圍圖(KML)(第1次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=49001d01-7db4-4e4e-82d9-0cd446dc73eb&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/4c07538b-9f86-4f97-aa13-c61c7e819c88/mapdata201811060259.zip,KML,,,,A01030500G
雪霸國家公園計畫範圍圖(WMS)(第1次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=49001d01-7db4-4e4e-82d9-0cd446dc73eb&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3c89ef60-ff88-4052-8e58-a427ff78e8d1&VIEW_TYPE=only&SOURCE=1,WMS,,,,A01030500G
雪霸國家公園登山步道路線圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=e291f20b-8120-42b7-99d0-ac7d4dd39756&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/28d9d837-10b5-45b6-8ce0-106633ccee10/mapdata201808290931.zip,SHP,雪霸國家公園登山步道路線圖(八條主要登山路線),,107,A01030500G
金門國家公園計畫範圍圖(SHP)(第3次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=2f5bb195-f872-463e-9e8b-506987026414&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/abe0165f-79ad-46d8-bd24-9610f7255154/金門國家公園範圍圖.zip,SHP,行政院114年5月5日院臺建字第1141008249號函核定,內政部114年6月20日台內園字第1141280267號公告,114,A01030600G
金門國家公園計畫使用分區圖(SHP)(第3次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=547c7dcc-a3fc-4a6c-8f3b-bb69f257e1fd&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/7dcd04ef-c319-41b7-864c-1fe94c06d4a6/金門國家公園計畫圖.zip,SHP,行政院114年5月5日院臺建字第1141008249號函核定,內政部114年6月20日台內園字第1141280267號公告,114,A01030600G
金門國家公園步道資訊(KML),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=79711077-217c-482d-a9c8-35dcc73da5ac&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/7d091505-0eb4-4995-8609-a2660bc4c30e/1130521更新步道系統資料.zip,KML,金門國家公園範圍步道路線資料(KML),,103,A01030600G
金門地區人文戰役資源分布(WMS),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=8cfa1dc7-a991-4381-91d1-5d581246b075&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3c89ef60-ff88-4052-8e58-a427ff78e8d1&VIEW_TYPE=only&SOURCE=1,WMS,金門國家公園人文戰役相關資源分布(含：金門地區戰役資源分布圖、金門國家公園區內國定縣定古蹟分布圖、金門國家公園傳統聚落分布圖),,101,A01030600G
金門國家公園景點資訊(WMS),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=b47d15ed-e695-4edc-8001-4407d7f94c32&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3c89ef60-ff88-4052-8e58-a427ff78e8d1&VIEW_TYPE=only&SOURCE=1,WMS,金門國家公園景點資訊(含：金門國家公園展示館分布圖、金門國家公園遊客中心分布圖、金門國家公園管理中心分布圖),,101,A01030600G
東沙環礁國家公園計畫圖(SHP)(第2次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=1897aa1d-16f5-4e83-b119-217a30091c49&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/88ddeb5a-b368-4529-a2bc-4e31463072c4/1121212-東沙2通-公告實施shp.zip,SHP,行政院112年10月23日院臺交字第1121038395號函核定,內政部112年12月12日台內園字第1121280052號公告,112,A01030700G
東沙環礁國家公園計畫圖(SHP)(第1次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=62dd90cd-9fb0-4538-afa8-896bb4f68eab&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/330636b0-ee2e-499a-8a49-3d07258ef0cb/mapdata202209211025.zip,SHP,行政院103年1月22日院臺交字第1130003313號函核定,內政部103年2月20日台內營字第1030094128號公告,103,A01030700G
東沙環礁國家公園計畫圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=9703b9b1-2cf5-4d73-930a-a39fadfdae27&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/8c73c6bc-8bc5-48da-92dd-b3d2f6fe9e25/mapdata202209211021.zip,SHP,行政院95年12月19日院臺治字第0950057265號函核定,,95,A01030700G
東沙環礁國家公園計畫圖(WMS),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=9703b9b1-2cf5-4d73-930a-a39fadfdae27&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3c89ef60-ff88-4052-8e58-a427ff78e8d1&VIEW_TYPE=only&SOURCE=1,WMS,行政院95年12月19日院臺治字第0950057265號函核定,,95,A01030700G
澎湖南方四島國家公園計畫圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=7ecb2769-26a1-48d0-a1fe-ca38c05834f1&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/163d327f-d96c-4db3-a955-25636424565c/澎湖南方四島國家公園計畫圖(103年實施).zip,SHP,行政院103年3月10日院臺建字第1030010925號函核定,,103,A01030700G
澎湖南方四島國家公園計畫圖(WMS),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=a8b70f22-451f-4caf-b83a-d50066b765db&VIEW_TYPE=only&SOURCE=1,https://ogcmap.tgos.tw/TGOS_UserServices/2770/RangeMap/SimpleWMS.aspx,WMS,行政院103年3月10日院臺建字第1030010925號函核定,,103,A01030700G
台江國家公園海域土地使用分區圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=f3b9885c-4903-4a57-ae2d-b5490867ca2b&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/88dbc6b0-eeab-4741-8d63-fd11a93af105/mapdata202207250241.zip,SHP,行政院98年9月28日院臺建字第0980058932號函核定,,98,A01030800G
台江國家公園陸域土地使用分區圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=99588c71-3b35-414f-b4bb-926c82aa697d&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/e2448337-a8c9-41de-8e77-6985d8c573c8/mapdata202207250229.zip,SHP,行政院98年9月28日院臺建字第0980058932號函核定,,98,A01030800G
壽山國家自然公園計畫範圍圖(SHP)(第1次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=ebfeb743-8b0e-455c-8f08-99ddea585b83&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/66c858d4-9888-4180-985a-b86ccce815ef/壽山國家自然公園計畫範圍圖(第1次通盤檢討).zip,SHP,行政院110年6月30日院臺建字第1100019257號函核定,內政部110年8月31日台內營字第1100812997號公告,110,A01030900G
壽山國家自然公園土地使用分區圖(SHP)(第1次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=b544388d-abfb-4e40-b6c4-ae75b5597332&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/944ec54f-a7ec-448d-8fef-6726ab89ac39/壽山國家自然公園使用分區圖(第1次通盤檢討).zip,SHP,行政院110年6月30日院臺建字第1100019257號函核定,內政部110年8月31日台內營字第1100812997號公告,1108,A01030900G
